Observation station,Year,Month,Day,Time [Local time],Average temperature [°C],Snow depth [cm]
Siilinjärvi Kuopio airport,2004,3,8,02:00,-3.2,65
Siilinjärvi Kuopio airport,2004,3,9,02:00,-8.1,64
Siilinjärvi Kuopio airport,2004,3,10,02:00,-5,64
Siilinjärvi Kuopio airport,2004,3,11,02:00,-3.7,63
Siilinjärvi Kuopio airport,2004,3,12,02:00,-5.7,62
Siilinjärvi Kuopio airport,2004,3,13,02:00,-7.2,62
Siilinjärvi Kuopio airport,2004,3,14,02:00,-3.3,62
Siilinjärvi Kuopio airport,2004,3,15,02:00,0.5,61
Siilinjärvi Kuopio airport,2004,3,16,02:00,1.5,60
Siilinjärvi Kuopio airport,2004,3,17,02:00,1.4,57
Siilinjärvi Kuopio airport,2004,3,18,02:00,0.6,55
Siilinjärvi Kuopio airport,2004,3,19,02:00,0.8,52
Siilinjärvi Kuopio airport,2004,3,20,02:00,1.2,50
Siilinjärvi Kuopio airport,2004,3,21,02:00,0.3,47
Siilinjärvi Kuopio airport,2004,3,22,02:00,-1,46
Siilinjärvi Kuopio airport,2004,3,23,02:00,-1,48
Siilinjärvi Kuopio airport,2004,3,24,02:00,-1.3,49
Siilinjärvi Kuopio airport,2004,3,25,02:00,-1.3,48
Siilinjärvi Kuopio airport,2004,3,26,02:00,-2.7,47
Siilinjärvi Kuopio airport,2004,3,27,02:00,-2.4,47
Siilinjärvi Kuopio airport,2004,3,28,02:00,0.4,48
Siilinjärvi Kuopio airport,2004,3,29,03:00,0.6,46
Siilinjärvi Kuopio airport,2004,3,30,03:00,1.4,46
Siilinjärvi Kuopio airport,2004,3,31,03:00,-1.8,44
Siilinjärvi Kuopio airport,2004,4,1,03:00,-5.7,43
Siilinjärvi Kuopio airport,2004,4,2,03:00,-4.3,43
Siilinjärvi Kuopio airport,2004,4,3,03:00,0.5,43
Siilinjärvi Kuopio airport,2004,4,4,03:00,0.6,43
Siilinjärvi Kuopio airport,2004,4,5,03:00,0.6,42
Siilinjärvi Kuopio airport,2004,4,6,03:00,1.8,41
Siilinjärvi Kuopio airport,2004,4,7,03:00,2,40
Siilinjärvi Kuopio airport,2004,4,8,03:00,2.8,39
Siilinjärvi Kuopio airport,2004,4,9,03:00,3.4,39
Siilinjärvi Kuopio airport,2004,4,10,03:00,1.7,37
Siilinjärvi Kuopio airport,2004,4,11,03:00,1.5,34
Siilinjärvi Kuopio airport,2004,4,12,03:00,1.8,33
Siilinjärvi Kuopio airport,2004,4,13,03:00,2.2,33
Siilinjärvi Kuopio airport,2004,4,14,03:00,1.6,32
Siilinjärvi Kuopio airport,2004,4,15,03:00,2.7,31
Siilinjärvi Kuopio airport,2004,4,16,03:00,4.1,29
Siilinjärvi Kuopio airport,2004,4,17,03:00,7.6,26
Siilinjärvi Kuopio airport,2004,4,18,03:00,7.3,23
Siilinjärvi Kuopio airport,2004,4,19,03:00,7.9,20
Siilinjärvi Kuopio airport,2004,4,20,03:00,6.5,13
Siilinjärvi Kuopio airport,2004,4,21,03:00,2.9,7
Siilinjärvi Kuopio airport,2004,4,22,03:00,0.8,0
Siilinjärvi Kuopio airport,2004,4,23,03:00,0.2,0
Siilinjärvi Kuopio airport,2004,4,24,03:00,2,0
Siilinjärvi Kuopio airport,2004,4,25,03:00,2.8,0
Siilinjärvi Kuopio airport,2004,4,26,03:00,4.8,0
Siilinjärvi Kuopio airport,2004,4,27,03:00,5.5,-1
Siilinjärvi Kuopio airport,2004,4,28,03:00,4.7,-1
Siilinjärvi Kuopio airport,2004,4,29,03:00,6,-1
Siilinjärvi Kuopio airport,2004,4,30,03:00,7,-1
Siilinjärvi Kuopio airport,2004,5,1,03:00,8.5,-1
Siilinjärvi Kuopio airport,2004,5,2,03:00,9.3,-1
Siilinjärvi Kuopio airport,2004,5,3,03:00,12.8,-1
Siilinjärvi Kuopio airport,2004,5,4,03:00,14.2,-1
Siilinjärvi Kuopio airport,2004,5,5,03:00,12.7,-1
Siilinjärvi Kuopio airport,2004,5,6,03:00,15.4,-1
Siilinjärvi Kuopio airport,2004,5,7,03:00,14.3,-1
Siilinjärvi Kuopio airport,2004,5,8,03:00,16.9,-1
Siilinjärvi Kuopio airport,2004,5,9,03:00,15.5,-1
Siilinjärvi Kuopio airport,2004,5,10,03:00,2.3,-1
Siilinjärvi Kuopio airport,2004,5,11,03:00,1.4,-1
Siilinjärvi Kuopio airport,2004,5,12,03:00,3,-1
Siilinjärvi Kuopio airport,2004,5,13,03:00,3.6,-1
Siilinjärvi Kuopio airport,2004,5,14,03:00,5.4,-1
Siilinjärvi Kuopio airport,2004,5,15,03:00,5.3,-1
Siilinjärvi Kuopio airport,2004,5,16,03:00,5.4,-1
Siilinjärvi Kuopio airport,2004,5,17,03:00,7.6,-1
Siilinjärvi Kuopio airport,2004,5,18,03:00,7.2,-1
Siilinjärvi Kuopio airport,2004,5,19,03:00,8.6,-1
Siilinjärvi Kuopio airport,2004,5,20,03:00,7,-1
Siilinjärvi Kuopio airport,2004,5,21,03:00,8.1,-1
Siilinjärvi Kuopio airport,2004,5,22,03:00,6.3,-1
Siilinjärvi Kuopio airport,2004,5,23,03:00,6.4,-1
Siilinjärvi Kuopio airport,2004,5,24,03:00,7.9,-1
Siilinjärvi Kuopio airport,2004,5,25,03:00,8.9,-1
Siilinjärvi Kuopio airport,2004,5,26,03:00,9.3,-1
Siilinjärvi Kuopio airport,2004,5,27,03:00,10.9,-1
Siilinjärvi Kuopio airport,2004,5,28,03:00,10.6,-1
Siilinjärvi Kuopio airport,2004,5,29,03:00,10.6,-1
Siilinjärvi Kuopio airport,2004,5,30,03:00,9.9,-1
Siilinjärvi Kuopio airport,2004,5,31,03:00,8.4,-1
Siilinjärvi Kuopio airport,2004,6,1,03:00,11.4,-1
Siilinjärvi Kuopio airport,2004,6,2,03:00,10.6,-1
Siilinjärvi Kuopio airport,2004,6,3,03:00,11,-1
Siilinjärvi Kuopio airport,2004,6,4,03:00,15.4,-1
Siilinjärvi Kuopio airport,2004,6,5,03:00,17.2,-1
Siilinjärvi Kuopio airport,2004,6,6,03:00,11.9,-1
Siilinjärvi Kuopio airport,2004,6,7,03:00,9.1,-1
Siilinjärvi Kuopio airport,2004,6,8,03:00,9.9,-1
Siilinjärvi Kuopio airport,2004,6,9,03:00,10,-1
Siilinjärvi Kuopio airport,2004,6,10,03:00,11.6,-1
Siilinjärvi Kuopio airport,2004,6,11,03:00,12.6,-1
Siilinjärvi Kuopio airport,2004,6,12,03:00,13.8,-1
Siilinjärvi Kuopio airport,2004,6,13,03:00,15.5,-1
Siilinjärvi Kuopio airport,2004,6,14,03:00,10.9,-1
Siilinjärvi Kuopio airport,2004,6,15,03:00,10.2,-1
Siilinjärvi Kuopio airport,2004,6,16,03:00,9.3,-1
Siilinjärvi Kuopio airport,2004,6,17,03:00,9.9,-1
Siilinjärvi Kuopio airport,2004,6,18,03:00,10.4,-1
Siilinjärvi Kuopio airport,2004,6,19,03:00,12.6,-1
Siilinjärvi Kuopio airport,2004,6,20,03:00,13.3,-1
Siilinjärvi Kuopio airport,2004,6,21,03:00,14.5,-1
Siilinjärvi Kuopio airport,2004,6,22,03:00,14,-1
Siilinjärvi Kuopio airport,2004,6,23,03:00,13.6,-1
Siilinjärvi Kuopio airport,2004,6,24,03:00,14.5,-1
Siilinjärvi Kuopio airport,2004,6,25,03:00,16.5,-1
Siilinjärvi Kuopio airport,2004,6,26,03:00,16.5,-1
Siilinjärvi Kuopio airport,2004,6,27,03:00,17.3,-1
Siilinjärvi Kuopio airport,2004,6,28,03:00,17.4,-1
Siilinjärvi Kuopio airport,2004,6,29,03:00,17.2,-1
Siilinjärvi Kuopio airport,2004,6,30,03:00,18.1,-1
Siilinjärvi Kuopio airport,2004,7,1,03:00,15.4,-1
Siilinjärvi Kuopio airport,2004,7,2,03:00,17.8,-1
Siilinjärvi Kuopio airport,2004,7,3,03:00,18.9,-1
Siilinjärvi Kuopio airport,2004,7,4,03:00,17.1,-1
Siilinjärvi Kuopio airport,2004,7,5,03:00,13.8,-1
Siilinjärvi Kuopio airport,2004,7,6,03:00,13.4,-1
Siilinjärvi Kuopio airport,2004,7,7,03:00,15.7,-1
Siilinjärvi Kuopio airport,2004,7,8,03:00,14.7,-1
Siilinjärvi Kuopio airport,2004,7,9,03:00,16.7,-1
Siilinjärvi Kuopio airport,2004,7,10,03:00,18.2,-1
Siilinjärvi Kuopio airport,2004,7,11,03:00,16.4,-1
Siilinjärvi Kuopio airport,2004,7,12,03:00,15.5,-1
Siilinjärvi Kuopio airport,2004,7,13,03:00,17.7,-1
Siilinjärvi Kuopio airport,2004,7,14,03:00,16,-1
Siilinjärvi Kuopio airport,2004,7,15,03:00,15.9,-1
Siilinjärvi Kuopio airport,2004,7,16,03:00,15.2,-1
Siilinjärvi Kuopio airport,2004,7,17,03:00,17.3,-1
Siilinjärvi Kuopio airport,2004,7,18,03:00,18,-1
Siilinjärvi Kuopio airport,2004,7,19,03:00,19.4,-1
Siilinjärvi Kuopio airport,2004,7,20,03:00,18.3,-1
Siilinjärvi Kuopio airport,2004,7,21,03:00,18.3,-1
Siilinjärvi Kuopio airport,2004,7,22,03:00,18.4,-1
Siilinjärvi Kuopio airport,2004,7,23,03:00,18.7,-1
Siilinjärvi Kuopio airport,2004,7,24,03:00,18.9,-1
Siilinjärvi Kuopio airport,2004,7,25,03:00,19.7,-1
Siilinjärvi Kuopio airport,2004,7,26,03:00,19.1,-1
Siilinjärvi Kuopio airport,2004,7,27,03:00,18.5,-1
Siilinjärvi Kuopio airport,2004,7,28,03:00,17,-1
Siilinjärvi Kuopio airport,2004,7,29,03:00,16.2,-1
Siilinjärvi Kuopio airport,2004,7,30,03:00,17.1,-1
Siilinjärvi Kuopio airport,2004,7,31,03:00,17,-1
Siilinjärvi Kuopio airport,2004,8,1,03:00,18.1,-1
Siilinjärvi Kuopio airport,2004,8,2,03:00,18.6,-1
Siilinjärvi Kuopio airport,2004,8,3,03:00,21.3,-1
Siilinjärvi Kuopio airport,2004,8,4,03:00,21,-1
Siilinjärvi Kuopio airport,2004,8,5,03:00,22,-1
Siilinjärvi Kuopio airport,2004,8,6,03:00,22,-1
Siilinjärvi Kuopio airport,2004,8,7,03:00,22.1,-1
Siilinjärvi Kuopio airport,2004,8,8,03:00,19.6,-1
Siilinjärvi Kuopio airport,2004,8,9,03:00,15.7,-1
Siilinjärvi Kuopio airport,2004,8,10,03:00,17.3,-1
Siilinjärvi Kuopio airport,2004,8,11,03:00,16,-1
Siilinjärvi Kuopio airport,2004,8,12,03:00,13.3,-1
Siilinjärvi Kuopio airport,2004,8,13,03:00,11.3,-1
Siilinjärvi Kuopio airport,2004,8,14,03:00,10.9,-1
Siilinjärvi Kuopio airport,2004,8,15,03:00,10.1,-1
Siilinjärvi Kuopio airport,2004,8,16,03:00,12.5,-1
Siilinjärvi Kuopio airport,2004,8,17,03:00,12.7,-1
Siilinjärvi Kuopio airport,2004,8,18,03:00,14.3,-1
Siilinjärvi Kuopio airport,2004,8,19,03:00,13.3,-1
Siilinjärvi Kuopio airport,2004,8,20,03:00,14.9,-1
Siilinjärvi Kuopio airport,2004,8,21,03:00,15.7,-1
Siilinjärvi Kuopio airport,2004,8,22,03:00,16.1,-1
Siilinjärvi Kuopio airport,2004,8,23,03:00,13,-1
Siilinjärvi Kuopio airport,2004,8,24,03:00,9.9,-1
Siilinjärvi Kuopio airport,2004,8,25,03:00,10.9,-1
Siilinjärvi Kuopio airport,2004,8,26,03:00,12.2,-1
Siilinjärvi Kuopio airport,2004,8,27,03:00,12.5,-1
Siilinjärvi Kuopio airport,2004,8,28,03:00,14.9,-1
Siilinjärvi Kuopio airport,2004,8,29,03:00,15.1,-1
Siilinjärvi Kuopio airport,2004,8,30,03:00,14.6,-1
Siilinjärvi Kuopio airport,2004,8,31,03:00,16.3,-1
Siilinjärvi Kuopio airport,2004,9,1,03:00,18.6,-1
Siilinjärvi Kuopio airport,2004,9,2,03:00,17.5,-1
Siilinjärvi Kuopio airport,2004,9,3,03:00,15.6,-1
Siilinjärvi Kuopio airport,2004,9,4,03:00,13,-1
Siilinjärvi Kuopio airport,2004,9,5,03:00,14.8,-1
Siilinjärvi Kuopio airport,2004,9,6,03:00,14.8,-1
Siilinjärvi Kuopio airport,2004,9,7,03:00,11.1,-1
Siilinjärvi Kuopio airport,2004,9,8,03:00,7.9,-1
Siilinjärvi Kuopio airport,2004,9,9,03:00,7.5,-1
Siilinjärvi Kuopio airport,2004,9,10,03:00,13.4,-1
Siilinjärvi Kuopio airport,2004,9,11,03:00,10.8,-1
Siilinjärvi Kuopio airport,2004,9,12,03:00,10.2,-1
Siilinjärvi Kuopio airport,2004,9,13,03:00,10.8,-1
Siilinjärvi Kuopio airport,2004,9,14,03:00,11,-1
Siilinjärvi Kuopio airport,2004,9,15,03:00,12.4,-1
Siilinjärvi Kuopio airport,2004,9,16,03:00,9.2,-1
Siilinjärvi Kuopio airport,2004,9,17,03:00,7.8,-1
Siilinjärvi Kuopio airport,2004,9,18,03:00,10.7,-1
Siilinjärvi Kuopio airport,2004,9,19,03:00,11.3,-1
Siilinjärvi Kuopio airport,2004,9,20,03:00,12.1,-1
Siilinjärvi Kuopio airport,2004,9,21,03:00,11.2,-1
Siilinjärvi Kuopio airport,2004,9,22,03:00,11.1,-1
Siilinjärvi Kuopio airport,2004,9,23,03:00,10,-1
Siilinjärvi Kuopio airport,2004,9,24,03:00,9.9,-1
Siilinjärvi Kuopio airport,2004,9,25,03:00,9.9,-1
Siilinjärvi Kuopio airport,2004,9,26,03:00,9.8,-1
Siilinjärvi Kuopio airport,2004,9,27,03:00,10.2,-1
Siilinjärvi Kuopio airport,2004,9,28,03:00,10.5,-1
Siilinjärvi Kuopio airport,2004,9,29,03:00,9.4,-1
Siilinjärvi Kuopio airport,2004,9,30,03:00,8.3,-1
Siilinjärvi Kuopio airport,2004,10,1,03:00,4.6,-1
Siilinjärvi Kuopio airport,2004,10,2,03:00,7.1,-1
Siilinjärvi Kuopio airport,2004,10,3,03:00,6.4,-1
Siilinjärvi Kuopio airport,2004,10,4,03:00,7.1,-1
Siilinjärvi Kuopio airport,2004,10,5,03:00,8.1,-1
Siilinjärvi Kuopio airport,2004,10,6,03:00,9.8,-1
Siilinjärvi Kuopio airport,2004,10,7,03:00,8.4,-1
Siilinjärvi Kuopio airport,2004,10,8,03:00,6.1,-1
Siilinjärvi Kuopio airport,2004,10,9,03:00,1.9,-1
Siilinjärvi Kuopio airport,2004,10,10,03:00,0.1,-1
Siilinjärvi Kuopio airport,2004,10,11,03:00,0.8,-1
Siilinjärvi Kuopio airport,2004,10,12,03:00,4.3,-1
Siilinjärvi Kuopio airport,2004,10,13,03:00,4.5,-1
Siilinjärvi Kuopio airport,2004,10,14,03:00,4.5,-1
Siilinjärvi Kuopio airport,2004,10,15,03:00,2.3,-1
Siilinjärvi Kuopio airport,2004,10,16,03:00,3.2,-1
Siilinjärvi Kuopio airport,2004,10,17,03:00,3.2,-1
Siilinjärvi Kuopio airport,2004,10,18,03:00,5.3,-1
Siilinjärvi Kuopio airport,2004,10,19,03:00,3.1,-1
Siilinjärvi Kuopio airport,2004,10,20,03:00,1.7,-1
Siilinjärvi Kuopio airport,2004,10,21,03:00,1.8,-1
Siilinjärvi Kuopio airport,2004,10,22,03:00,5.3,-1
Siilinjärvi Kuopio airport,2004,10,23,03:00,6.1,-1
Siilinjärvi Kuopio airport,2004,10,24,03:00,4.4,-1
Siilinjärvi Kuopio airport,2004,10,25,03:00,4.1,-1
Siilinjärvi Kuopio airport,2004,10,26,03:00,5,-1
Siilinjärvi Kuopio airport,2004,10,27,03:00,5.8,-1
Siilinjärvi Kuopio airport,2004,10,28,03:00,3.3,-1
Siilinjärvi Kuopio airport,2004,10,29,03:00,-0.3,-1
Siilinjärvi Kuopio airport,2004,10,30,03:00,-2.8,-1
Siilinjärvi Kuopio airport,2004,10,31,03:00,-1.6,-1
Siilinjärvi Kuopio airport,2004,11,1,02:00,2.4,2
Siilinjärvi Kuopio airport,2004,11,2,02:00,1.9,0
Siilinjärvi Kuopio airport,2004,11,3,02:00,4.8,0
Siilinjärvi Kuopio airport,2004,11,4,02:00,3.8,-1
Siilinjärvi Kuopio airport,2004,11,5,02:00,6,-1
Siilinjärvi Kuopio airport,2004,11,6,02:00,4.3,-1
Siilinjärvi Kuopio airport,2004,11,7,02:00,1.2,-1
Siilinjärvi Kuopio airport,2004,11,8,02:00,4.3,-1
Siilinjärvi Kuopio airport,2004,11,9,02:00,5.8,-1
Siilinjärvi Kuopio airport,2004,11,10,02:00,2.8,-1
Siilinjärvi Kuopio airport,2004,11,11,02:00,3.7,-1
Siilinjärvi Kuopio airport,2004,11,12,02:00,5.8,-1
Siilinjärvi Kuopio airport,2004,11,13,02:00,1.8,-1
Siilinjärvi Kuopio airport,2004,11,14,02:00,-0.4,-1
Siilinjärvi Kuopio airport,2004,11,15,02:00,1.7,2
Siilinjärvi Kuopio airport,2004,11,16,02:00,-2.1,2
Siilinjärvi Kuopio airport,2004,11,17,02:00,-4.6,2
Siilinjärvi Kuopio airport,2004,11,18,02:00,-5.2,2
Siilinjärvi Kuopio airport,2004,11,19,02:00,-6.9,5
Siilinjärvi Kuopio airport,2004,11,20,02:00,-6,6
Siilinjärvi Kuopio airport,2004,11,21,02:00,-12.2,6
Siilinjärvi Kuopio airport,2004,11,22,02:00,-9,6
Siilinjärvi Kuopio airport,2004,11,23,02:00,-7.1,6
Siilinjärvi Kuopio airport,2004,11,24,02:00,-7.1,7
Siilinjärvi Kuopio airport,2004,11,25,02:00,-3.8,11
Siilinjärvi Kuopio airport,2004,11,26,02:00,-4.2,10
Siilinjärvi Kuopio airport,2004,11,27,02:00,-8.9,10
Siilinjärvi Kuopio airport,2004,11,28,02:00,-14.2,10
Siilinjärvi Kuopio airport,2004,11,29,02:00,-14.2,10
Siilinjärvi Kuopio airport,2004,11,30,02:00,-6.6,11
Siilinjärvi Kuopio airport,2004,12,1,02:00,-0.6,14
Siilinjärvi Kuopio airport,2004,12,2,02:00,-3.8,14
Siilinjärvi Kuopio airport,2004,12,3,02:00,-16.4,14
Siilinjärvi Kuopio airport,2004,12,4,02:00,-13.5,14
Siilinjärvi Kuopio airport,2004,12,5,02:00,-1.8,17
Siilinjärvi Kuopio airport,2004,12,6,02:00,-2.8,18
Siilinjärvi Kuopio airport,2004,12,7,02:00,-3.6,18
Siilinjärvi Kuopio airport,2004,12,8,02:00,-0.2,25
Siilinjärvi Kuopio airport,2004,12,9,02:00,-5.7,24
Siilinjärvi Kuopio airport,2004,12,10,02:00,-3.1,24
Siilinjärvi Kuopio airport,2004,12,11,02:00,-0.5,23
Siilinjärvi Kuopio airport,2004,12,12,02:00,-6.9,28
Siilinjärvi Kuopio airport,2004,12,13,02:00,-15.1,27
Siilinjärvi Kuopio airport,2004,12,14,02:00,-5.3,27
Siilinjärvi Kuopio airport,2004,12,15,02:00,1.8,22
Siilinjärvi Kuopio airport,2004,12,16,02:00,-0.2,21
Siilinjärvi Kuopio airport,2004,12,17,02:00,1.8,20
Siilinjärvi Kuopio airport,2004,12,18,02:00,1.3,17
Siilinjärvi Kuopio airport,2004,12,19,02:00,0.3,16
Siilinjärvi Kuopio airport,2004,12,20,02:00,-3.2,16
Siilinjärvi Kuopio airport,2004,12,21,02:00,-5.7,19
Siilinjärvi Kuopio airport,2004,12,22,02:00,-4.6,19
Siilinjärvi Kuopio airport,2004,12,23,02:00,-2.7,21
Siilinjärvi Kuopio airport,2004,12,24,02:00,-4.6,27
Siilinjärvi Kuopio airport,2004,12,25,02:00,-9.1,25
Siilinjärvi Kuopio airport,2004,12,26,02:00,-6.2,25
Siilinjärvi Kuopio airport,2004,12,27,02:00,-3.5,25
Siilinjärvi Kuopio airport,2004,12,28,02:00,-7.6,24
Siilinjärvi Kuopio airport,2004,12,29,02:00,-4.2,24
Siilinjärvi Kuopio airport,2004,12,30,02:00,-0.5,23
Siilinjärvi Kuopio airport,2004,12,31,02:00,-0.2,24
Siilinjärvi Kuopio airport,2005,1,1,02:00,-2.5,24
Siilinjärvi Kuopio airport,2005,1,2,02:00,-0.5,24
Siilinjärvi Kuopio airport,2005,1,3,02:00,-0.8,26
Siilinjärvi Kuopio airport,2005,1,4,02:00,-2.4,32
Siilinjärvi Kuopio airport,2005,1,5,02:00,-3.3,32
Siilinjärvi Kuopio airport,2005,1,6,02:00,-6,32
Siilinjärvi Kuopio airport,2005,1,7,02:00,-1.9,33
Siilinjärvi Kuopio airport,2005,1,8,02:00,0.6,30
Siilinjärvi Kuopio airport,2005,1,9,02:00,-0.8,39
Siilinjärvi Kuopio airport,2005,1,10,02:00,-3.5,44
Siilinjärvi Kuopio airport,2005,1,11,02:00,0.2,52
Siilinjärvi Kuopio airport,2005,1,12,02:00,-1.3,50
Siilinjärvi Kuopio airport,2005,1,13,02:00,1.8,48
Siilinjärvi Kuopio airport,2005,1,14,02:00,-2,43
Siilinjärvi Kuopio airport,2005,1,15,02:00,-7.6,43
Siilinjärvi Kuopio airport,2005,1,16,02:00,-5.9,40
Siilinjärvi Kuopio airport,2005,1,17,02:00,1.3,47
Siilinjärvi Kuopio airport,2005,1,18,02:00,0.6,40
Siilinjärvi Kuopio airport,2005,1,19,02:00,-1,39
Siilinjärvi Kuopio airport,2005,1,20,02:00,-2.2,42
Siilinjärvi Kuopio airport,2005,1,21,02:00,-2.1,45
Siilinjärvi Kuopio airport,2005,1,22,02:00,-3.3,47
Siilinjärvi Kuopio airport,2005,1,23,02:00,-5.4,45
Siilinjärvi Kuopio airport,2005,1,24,02:00,-8.4,45
Siilinjärvi Kuopio airport,2005,1,25,02:00,-8.6,49
Siilinjärvi Kuopio airport,2005,1,26,02:00,-8.1,49
Siilinjärvi Kuopio airport,2005,1,27,02:00,-10,51
Siilinjärvi Kuopio airport,2005,1,28,02:00,-17.8,51
Siilinjärvi Kuopio airport,2005,1,29,02:00,-14.1,52
Siilinjärvi Kuopio airport,2005,1,30,02:00,-9,53
Siilinjärvi Kuopio airport,2005,1,31,02:00,-3.7,62
Siilinjärvi Kuopio airport,2005,2,1,02:00,-6.6,61
Siilinjärvi Kuopio airport,2005,2,2,02:00,-13.6,61
Siilinjärvi Kuopio airport,2005,2,3,02:00,-7.8,61
Siilinjärvi Kuopio airport,2005,2,4,02:00,-2.6,62
Siilinjärvi Kuopio airport,2005,2,5,02:00,-0.1,60
Siilinjärvi Kuopio airport,2005,2,6,02:00,-2.8,54
Siilinjärvi Kuopio airport,2005,2,7,02:00,-4.2,54
Siilinjärvi Kuopio airport,2005,2,8,02:00,-5.1,54
Siilinjärvi Kuopio airport,2005,2,9,02:00,-5.5,54
Siilinjärvi Kuopio airport,2005,2,10,02:00,-4.7,54
Siilinjärvi Kuopio airport,2005,2,11,02:00,-0.1,56
Siilinjärvi Kuopio airport,2005,2,12,02:00,-3.3,56
Siilinjärvi Kuopio airport,2005,2,13,02:00,-3.1,56
Siilinjärvi Kuopio airport,2005,2,14,02:00,-8.1,55
Siilinjärvi Kuopio airport,2005,2,15,02:00,-11.2,55
Siilinjärvi Kuopio airport,2005,2,16,02:00,-13.3,55
Siilinjärvi Kuopio airport,2005,2,17,02:00,-10.7,55
Siilinjärvi Kuopio airport,2005,2,18,02:00,-8.7,57
Siilinjärvi Kuopio airport,2005,2,19,02:00,-5.9,57
Siilinjärvi Kuopio airport,2005,2,20,02:00,-6.9,63
Siilinjärvi Kuopio airport,2005,2,21,02:00,-10.5,60
Siilinjärvi Kuopio airport,2005,2,22,02:00,-14.6,60
Siilinjärvi Kuopio airport,2005,2,23,02:00,-17.6,59
Siilinjärvi Kuopio airport,2005,2,24,02:00,-14.7,59
Siilinjärvi Kuopio airport,2005,2,25,02:00,-8.2,60
Siilinjärvi Kuopio airport,2005,2,26,02:00,-13.4,57
Siilinjärvi Kuopio airport,2005,2,27,02:00,-14,57
Siilinjärvi Kuopio airport,2005,2,28,02:00,-17.1,58
Siilinjärvi Kuopio airport,2005,3,1,02:00,-17.5,58
Siilinjärvi Kuopio airport,2005,3,2,02:00,-15.1,58
Siilinjärvi Kuopio airport,2005,3,3,02:00,-10,58
Siilinjärvi Kuopio airport,2005,3,4,02:00,-10.4,58
Siilinjärvi Kuopio airport,2005,3,5,02:00,-13.7,58
Siilinjärvi Kuopio airport,2005,3,6,02:00,-14,57
Siilinjärvi Kuopio airport,2005,3,7,02:00,-10.5,58
Siilinjärvi Kuopio airport,2005,3,8,02:00,-7.7,59
Siilinjärvi Kuopio airport,2005,3,9,02:00,-12.6,58
Siilinjärvi Kuopio airport,2005,3,10,02:00,-14.3,58
Siilinjärvi Kuopio airport,2005,3,11,02:00,-14,57
Siilinjärvi Kuopio airport,2005,3,12,02:00,-9.8,57
Siilinjärvi Kuopio airport,2005,3,13,02:00,-12.3,57
Siilinjärvi Kuopio airport,2005,3,14,02:00,-12.8,57
Siilinjärvi Kuopio airport,2005,3,15,02:00,-11.7,58
Siilinjärvi Kuopio airport,2005,3,16,02:00,-13.5,58
Siilinjärvi Kuopio airport,2005,3,17,02:00,-11.5,58
Siilinjärvi Kuopio airport,2005,3,18,02:00,-8.5,58
Siilinjärvi Kuopio airport,2005,3,19,02:00,-6.6,57
Siilinjärvi Kuopio airport,2005,3,20,02:00,-6.6,56
Siilinjärvi Kuopio airport,2005,3,21,02:00,-6.7,56
Siilinjärvi Kuopio airport,2005,3,22,02:00,-7.3,56
Siilinjärvi Kuopio airport,2005,3,23,02:00,-7.5,56
Siilinjärvi Kuopio airport,2005,3,24,02:00,2.2,56
Siilinjärvi Kuopio airport,2005,3,25,02:00,2.1,53
Siilinjärvi Kuopio airport,2005,3,26,02:00,0.3,49
Siilinjärvi Kuopio airport,2005,3,27,02:00,-2.5,45
Siilinjärvi Kuopio airport,2005,3,28,03:00,-5.4,44
Siilinjärvi Kuopio airport,2005,3,29,03:00,-3.1,45
Siilinjärvi Kuopio airport,2005,3,30,03:00,-1.1,45
Siilinjärvi Kuopio airport,2005,3,31,03:00,1.8,45
Siilinjärvi Kuopio airport,2005,4,1,03:00,2.3,45
Siilinjärvi Kuopio airport,2005,4,2,03:00,2.8,42
Siilinjärvi Kuopio airport,2005,4,3,03:00,3,40
Siilinjärvi Kuopio airport,2005,4,4,03:00,4.9,39
Siilinjärvi Kuopio airport,2005,4,5,03:00,7.5,34
Siilinjärvi Kuopio airport,2005,4,6,03:00,3.7,28
Siilinjärvi Kuopio airport,2005,4,7,03:00,2.7,25
Siilinjärvi Kuopio airport,2005,4,8,03:00,4.4,20
Siilinjärvi Kuopio airport,2005,4,9,03:00,3.6,17
Siilinjärvi Kuopio airport,2005,4,10,03:00,1.9,15
Siilinjärvi Kuopio airport,2005,4,11,03:00,1.1,13
Siilinjärvi Kuopio airport,2005,4,12,03:00,3.3,10
Siilinjärvi Kuopio airport,2005,4,13,03:00,5.8,8
Siilinjärvi Kuopio airport,2005,4,14,03:00,5.7,3
Siilinjärvi Kuopio airport,2005,4,15,03:00,2.8,0
Siilinjärvi Kuopio airport,2005,4,16,03:00,4.4,0
Siilinjärvi Kuopio airport,2005,4,17,03:00,2.8,0
Siilinjärvi Kuopio airport,2005,4,18,03:00,0.3,0
Siilinjärvi Kuopio airport,2005,4,19,03:00,-2.2,0
Siilinjärvi Kuopio airport,2005,4,20,03:00,-1,0
Siilinjärvi Kuopio airport,2005,4,21,03:00,-2.4,0
Siilinjärvi Kuopio airport,2005,4,22,03:00,-0.3,2
Siilinjärvi Kuopio airport,2005,4,23,03:00,0.7,0
Siilinjärvi Kuopio airport,2005,4,24,03:00,3.6,0
Siilinjärvi Kuopio airport,2005,4,25,03:00,5,-1
